YEAR,WEEKDAY,PRICE
2014,Monday,108
2014,Monday,108
2014,Monday,109
2014,Monday,110
2014,Monday,110
2014,Monday,111
2014,Monday,111
2014,Monday,111
2014,Monday,111
2014,Monday,112
2014,Monday,112
2014,Monday,112
2014,Monday,112
2014,Monday,112
2014,Monday,113
2014,Monday,113
2014,Monday,114
2014,Monday,114
2014,Monday,114
2014,Monday,116
2014,Monday,116
2014,Monday,116
2014,Monday,117
2014,Monday,118
2014,Monday,119
2014,Monday,120
2014,Monday,123
2014,Monday,124
2014,Monday,125
2014,Monday,126
2014,Monday,126
2014,Monday,130
2014,Monday,135
2014,Monday,137
2014,Monday,138
2014,Monday,139
2014,Monday,140
2014,Monday,147
2014,Monday,151
2014,Monday,153
2014,Monday,157
2014,Tuesday,100
2014,Tuesday,103
2014,Tuesday,103
2014,Tuesday,103
2014,Tuesday,104
2014,Tuesday,106
2014,Tuesday,106
2014,Tuesday,107
2014,Tuesday,107
2014,Tuesday,107
2014,Tuesday,107
2014,Tuesday,109
2014,Tuesday,109
2014,Tuesday,109
2014,Tuesday,109
2014,Tuesday,109
2014,Tuesday,110
2014,Tuesday,110
2014,Tuesday,111
2014,Tuesday,113
2014,Tuesday,114
2014,Tuesday,114
2014,Tuesday,114
2014,Tuesday,114
2014,Tuesday,115
2014,Tuesday,115
2014,Tuesday,115
2014,Tuesday,116
2014,Tuesday,116
2014,Tuesday,116
2014,Tuesday,118
2014,Tuesday,118
2014,Tuesday,119
2014,Tuesday,120
2014,Tuesday,120
2014,Tuesday,121
2014,Tuesday,122
2014,Tuesday,122
2014,Tuesday,122
2014,Tuesday,123
2014,Tuesday,126
2014,Tuesday,127
2014,Tuesday,132
2014,Tuesday,136
2014,Tuesday,138
2014,Tuesday,141
2014,Tuesday,143
2014,Tuesday,143
2014,Tuesday,144
2014,Tuesday,153
2014,Tuesday,158
2014,Tuesday,159
2014,Wednesday,98
2014,Wednesday,101
2014,Wednesday,103
2014,Wednesday,103
2014,Wednesday,106
2014,Wednesday,106
2014,Wednesday,108
2014,Wednesday,108
2014,Wednesday,108
2014,Wednesday,108
2014,Wednesday,108
2014,Wednesday,108
2014,Wednesday,110
2014,Wednesday,110
2014,Wednesday,111
2014,Wednesday,112
2014,Wednesday,112
2014,Wednesday,112
2014,Wednesday,113
2014,Wednesday,113
2014,Wednesday,113
2014,Wednesday,113
2014,Wednesday,113
2014,Wednesday,114
2014,Wednesday,114
2014,Wednesday,115
2014,Wednesday,115
2014,Wednesday,116
2014,Wednesday,116
2014,Wednesday,116
2014,Wednesday,117
2014,Wednesday,117
2014,Wednesday,118
2014,Wednesday,118
2014,Wednesday,118
2014,Wednesday,119
2014,Wednesday,120
2014,Wednesday,121
2014,Wednesday,124
2014,Wednesday,127
2014,Wednesday,129
2014,Wednesday,131
2014,Wednesday,132
2014,Wednesday,134
2014,Wednesday,138
2014,Wednesday,139
2014,Wednesday,140
2014,Wednesday,141
2014,Wednesday,146
2014,Wednesday,153
2014,Wednesday,158
2014,Wednesday,160
2014,Thursday,97
2014,Thursday,99
2014,Thursday,102
2014,Thursday,102
2014,Thursday,102
2014,Thursday,103
2014,Thursday,103
2014,Thursday,105
2014,Thursday,106
2014,Thursday,107
2014,Thursday,107
2014,Thursday,107
2014,Thursday,108
2014,Thursday,109
2014,Thursday,110
2014,Thursday,111
2014,Thursday,111
2014,Thursday,112
2014,Thursday,112
2014,Thursday,113
2014,Thursday,113
2014,Thursday,114
2014,Thursday,115
2014,Thursday,115
2014,Thursday,116
2014,Thursday,116
2014,Thursday,116
2014,Thursday,117
2014,Thursday,117
2014,Thursday,118
2014,Thursday,118
2014,Thursday,119
2014,Thursday,119
2014,Thursday,120
2014,Thursday,120
2014,Thursday,120
2014,Thursday,122
2014,Thursday,123
2014,Thursday,124
2014,Thursday,124
2014,Thursday,130
2014,Thursday,131
2014,Thursday,133
2014,Thursday,137
2014,Thursday,139
2014,Thursday,140
2014,Thursday,141
2014,Thursday,143
2014,Thursday,144
2014,Thursday,147
2014,Thursday,153
2014,Thursday,163
2014,Thursday,166
2014,Friday,98
2014,Friday,100
2014,Friday,100
2014,Friday,102
2014,Friday,103
2014,Friday,103
2014,Friday,104
2014,Friday,104
2014,Friday,105
2014,Friday,105
2014,Friday,106
2014,Friday,108
2014,Friday,108
2014,Friday,108
2014,Friday,109
2014,Friday,109
2014,Friday,110
2014,Friday,110
2014,Friday,111
2014,Friday,111
2014,Friday,112
2014,Friday,112
2014,Friday,113
2014,Friday,114
2014,Friday,115
2014,Friday,115
2014,Friday,115
2014,Friday,116
2014,Friday,116
2014,Friday,116
2014,Friday,117
2014,Friday,117
2014,Friday,119
2014,Friday,120
2014,Friday,120
2014,Friday,121
2014,Friday,125
2014,Friday,125
2014,Friday,127
2014,Friday,128
2014,Friday,134
2014,Friday,134
2014,Friday,134
2014,Friday,138
2014,Friday,141
2014,Friday,142
2014,Friday,143
2014,Friday,148
2014,Friday,149
2014,Friday,155
2014,Friday,159
2014,Friday,162
2014,Saturday,99
2014,Saturday,100
2014,Saturday,104
2014,Saturday,104
2014,Saturday,105
2014,Saturday,105
2014,Saturday,106
2014,Saturday,106
2014,Saturday,107
2014,Saturday,108
2014,Saturday,108
2014,Saturday,109
2014,Saturday,109
2014,Saturday,109
2014,Saturday,110
2014,Saturday,110
2014,Saturday,111
2014,Saturday,111
2014,Saturday,112
2014,Saturday,112
2014,Saturday,113
2014,Saturday,113
2014,Saturday,113
2014,Saturday,113
2014,Saturday,113
2014,Saturday,113
2014,Saturday,114
2014,Saturday,114
2014,Saturday,115
2014,Saturday,116
2014,Saturday,117
2014,Saturday,117
2014,Saturday,117
2014,Saturday,118
2014,Saturday,119
2014,Saturday,119
2014,Saturday,121
2014,Saturday,122
2014,Saturday,126
2014,Saturday,126
2014,Saturday,127
2014,Saturday,133
2014,Saturday,136
2014,Saturday,142
2014,Saturday,142
2014,Saturday,145
2014,Saturday,145
2014,Saturday,147
2014,Saturday,156
2014,Saturday,160
2014,Saturday,165
2014,Saturday,166
2014,Sunday,102
2014,Sunday,102
2014,Sunday,103
2014,Sunday,104
2014,Sunday,105
2014,Sunday,105
2014,Sunday,105
2014,Sunday,106
2014,Sunday,107
2014,Sunday,107
2014,Sunday,108
2014,Sunday,108
2014,Sunday,109
2014,Sunday,109
2014,Sunday,109
2014,Sunday,110
2014,Sunday,110
2014,Sunday,110
2014,Sunday,112
2014,Sunday,112
2014,Sunday,112
2014,Sunday,113
2014,Sunday,113
2014,Sunday,113
2014,Sunday,114
2014,Sunday,114
2014,Sunday,114
2014,Sunday,115
2014,Sunday,116
2014,Sunday,117
2014,Sunday,117
2014,Sunday,118
2014,Sunday,119
2014,Sunday,120
2014,Sunday,120
2014,Sunday,122
2014,Sunday,125
2014,Sunday,126
2014,Sunday,129
2014,Sunday,129
2014,Sunday,131
2014,Sunday,137
2014,Sunday,139
2014,Sunday,140
2014,Sunday,141
2014,Sunday,141
2014,Sunday,144
2014,Sunday,144
2014,Sunday,155
2014,Sunday,160
2014,Sunday,160
2014,Sunday,162
2015,Monday,101
2015,Monday,105
2015,Monday,109
2015,Monday,111
2015,Monday,111
2015,Monday,111
2015,Monday,113
2015,Monday,114
2015,Monday,114
2015,Monday,114
2015,Monday,115
2015,Monday,115
2015,Monday,116
2015,Monday,116
2015,Monday,116
2015,Monday,117
2015,Monday,117
2015,Monday,117
2015,Monday,118
2015,Monday,118
2015,Monday,118
2015,Monday,119
2015,Monday,119
2015,Monday,120
2015,Monday,121
2015,Monday,123
2015,Monday,123
2015,Monday,123
2015,Monday,125
2015,Monday,125
2015,Monday,126
2015,Monday,126
2015,Monday,127
2015,Monday,129
2015,Monday,129
2015,Monday,129
2015,Monday,131
2015,Monday,132
2015,Monday,133
2015,Monday,133
2015,Monday,136
2015,Monday,138
2015,Monday,141
2015,Monday,147
2015,Monday,148
2015,Monday,152
2015,Monday,159
2015,Monday,162
2015,Monday,162
2015,Monday,169
2015,Monday,170
2015,Monday,171
2015,Tuesday,105
2015,Tuesday,108
2015,Tuesday,110
2015,Tuesday,110
2015,Tuesday,111
2015,Tuesday,111
2015,Tuesday,111
2015,Tuesday,111
2015,Tuesday,114
2015,Tuesday,115
2015,Tuesday,117
2015,Tuesday,118
2015,Tuesday,118
2015,Tuesday,118
2015,Tuesday,119
2015,Tuesday,120
2015,Tuesday,120
2015,Tuesday,120
2015,Tuesday,121
2015,Tuesday,121
2015,Tuesday,122
2015,Tuesday,123
2015,Tuesday,123
2015,Tuesday,123
2015,Tuesday,123
2015,Tuesday,123
2015,Tuesday,124
2015,Tuesday,124
2015,Tuesday,125
2015,Tuesday,125
2015,Tuesday,126
2015,Tuesday,126
2015,Tuesday,126
2015,Tuesday,126
2015,Tuesday,128
2015,Tuesday,128
2015,Tuesday,129
2015,Tuesday,134
2015,Tuesday,136
2015,Tuesday,138
2015,Tuesday,143
2015,Tuesday,144
2015,Tuesday,144
2015,Tuesday,146
2015,Tuesday,155
2015,Tuesday,161
2015,Tuesday,163
2015,Tuesday,164
2015,Tuesday,167
2015,Tuesday,172
2015,Tuesday,176
2015,Tuesday,182
2015,Wednesday,110
2015,Wednesday,112
2015,Wednesday,112
2015,Wednesday,113
2015,Wednesday,114
2015,Wednesday,115
2015,Wednesday,115
2015,Wednesday,117
2015,Wednesday,118
2015,Wednesday,118
2015,Wednesday,118
2015,Wednesday,118
2015,Wednesday,119
2015,Wednesday,120
2015,Wednesday,120
2015,Wednesday,120
2015,Wednesday,122
2015,Wednesday,122
2015,Wednesday,122
2015,Wednesday,123
2015,Wednesday,123
2015,Wednesday,123
2015,Wednesday,124
2015,Wednesday,124
2015,Wednesday,124
2015,Wednesday,125
2015,Wednesday,126
2015,Wednesday,126
2015,Wednesday,127
2015,Wednesday,127
2015,Wednesday,128
2015,Wednesday,128
2015,Wednesday,129
2015,Wednesday,129
2015,Wednesday,130
2015,Wednesday,132
2015,Wednesday,136
2015,Wednesday,139
2015,Wednesday,139
2015,Wednesday,140
2015,Wednesday,141
2015,Wednesday,141
2015,Wednesday,141
2015,Wednesday,147
2015,Wednesday,154
2015,Wednesday,160
2015,Wednesday,164
2015,Wednesday,165
2015,Wednesday,171
2015,Wednesday,176
2015,Wednesday,177
2015,Wednesday,186
2015,Thursday,109
2015,Thursday,110
2015,Thursday,112
2015,Thursday,113
2015,Thursday,114
2015,Thursday,114
2015,Thursday,114
2015,Thursday,115
2015,Thursday,117
2015,Thursday,117
2015,Thursday,118
2015,Thursday,120
2015,Thursday,120
2015,Thursday,121
2015,Thursday,121
2015,Thursday,122
2015,Thursday,123
2015,Thursday,123
2015,Thursday,124
2015,Thursday,124
2015,Thursday,125
2015,Thursday,126
2015,Thursday,127
2015,Thursday,127
2015,Thursday,128
2015,Thursday,128
2015,Thursday,129
2015,Thursday,129
2015,Thursday,129
2015,Thursday,130
2015,Thursday,131
2015,Thursday,131
2015,Thursday,132
2015,Thursday,132
2015,Thursday,132
2015,Thursday,134
2015,Thursday,134
2015,Thursday,136
2015,Thursday,138
2015,Thursday,138
2015,Thursday,139
2015,Thursday,147
2015,Thursday,151
2015,Thursday,151
2015,Thursday,154
2015,Thursday,160
2015,Thursday,160
2015,Thursday,163
2015,Thursday,170
2015,Thursday,182
2015,Thursday,188
2015,Thursday,188
2015,Friday,106
2015,Friday,112
2015,Friday,112
2015,Friday,112
2015,Friday,113
2015,Friday,115
2015,Friday,115
2015,Friday,116
2015,Friday,117
2015,Friday,117
2015,Friday,117
2015,Friday,118
2015,Friday,119
2015,Friday,119
2015,Friday,119
2015,Friday,119
2015,Friday,119
2015,Friday,122
2015,Friday,123
2015,Friday,123
2015,Friday,124
2015,Friday,124
2015,Friday,124
2015,Friday,125
2015,Friday,125
2015,Friday,125
2015,Friday,125
2015,Friday,125
2015,Friday,127
2015,Friday,127
2015,Friday,129
2015,Friday,129
2015,Friday,130
2015,Friday,130
2015,Friday,132
2015,Friday,132
2015,Friday,133
2015,Friday,138
2015,Friday,139
2015,Friday,139
2015,Friday,145
2015,Friday,145
2015,Friday,146
2015,Friday,148
2015,Friday,154
2015,Friday,158
2015,Friday,161
2015,Friday,163
2015,Friday,165
2015,Friday,168
2015,Friday,189
2015,Friday,190
2015,Friday,193
2015,Saturday,111
2015,Saturday,111
2015,Saturday,113
2015,Saturday,115
2015,Saturday,115
2015,Saturday,116
2015,Saturday,116
2015,Saturday,116
2015,Saturday,117
2015,Saturday,118
2015,Saturday,118
2015,Saturday,118
2015,Saturday,118
2015,Saturday,118
2015,Saturday,118
2015,Saturday,119
2015,Saturday,119
2015,Saturday,120
2015,Saturday,121
2015,Saturday,121
2015,Saturday,121
2015,Saturday,123
2015,Saturday,124
2015,Saturday,124
2015,Saturday,125
2015,Saturday,125
2015,Saturday,125
2015,Saturday,126
2015,Saturday,126
2015,Saturday,127
2015,Saturday,128
2015,Saturday,129
2015,Saturday,129
2015,Saturday,130
2015,Saturday,130
2015,Saturday,132
2015,Saturday,133
2015,Saturday,137
2015,Saturday,137
2015,Saturday,142
2015,Saturday,144
2015,Saturday,146
2015,Saturday,147
2015,Saturday,158
2015,Saturday,161
2015,Saturday,161
2015,Saturday,163
2015,Saturday,165
2015,Saturday,190
2015,Saturday,191
2015,Saturday,192
2015,Saturday,281
2015,Sunday,113
2015,Sunday,114
2015,Sunday,115
2015,Sunday,116
2015,Sunday,116
2015,Sunday,117
2015,Sunday,117
2015,Sunday,117
2015,Sunday,117
2015,Sunday,118
2015,Sunday,119
2015,Sunday,119
2015,Sunday,120
2015,Sunday,120
2015,Sunday,121
2015,Sunday,121
2015,Sunday,121
2015,Sunday,121
2015,Sunday,121
2015,Sunday,122
2015,Sunday,122
2015,Sunday,123
2015,Sunday,123
2015,Sunday,123
2015,Sunday,123
2015,Sunday,124
2015,Sunday,124
2015,Sunday,125
2015,Sunday,126
2015,Sunday,126
2015,Sunday,128
2015,Sunday,128
2015,Sunday,130
2015,Sunday,132
2015,Sunday,132
2015,Sunday,135
2015,Sunday,136
2015,Sunday,136
2015,Sunday,137
2015,Sunday,138
2015,Sunday,140
2015,Sunday,146
2015,Sunday,150
2015,Sunday,156
2015,Sunday,159
2015,Sunday,161
2015,Sunday,165
2015,Sunday,169
2015,Sunday,182
2015,Sunday,184
2015,Sunday,186
2015,Sunday,188
